word,audio_word,match_type,source,speaker,license,filename,url,size_bytes
традиција,традиција,exact,Lingua Libre / Wikimedia Commons,Bjankuloski06,CC-BY-SA 4.0,LL-Q9296 (mkd)-Bjankuloski06-традиција.wav,https://upload.wikimedia.org/wikipedia/commons/4/42/LL-Q9296_%28mkd%29-Bjankuloski06-%D1%82%D1%80%D0%B0%D0%B4%D0%B8%D1%86%D0%B8%D1%98%D0%B0.wav,117548
војна,војна,exact,Lingua Libre / Wikimedia Commons,Bjankuloski06,CC-BY-SA 4.0,LL-Q9296 (mkd)-Bjankuloski06-војна.wav,https://upload.wikimedia.org/wikipedia/commons/6/60/LL-Q9296_%28mkd%29-Bjankuloski06-%D0%B2%D0%BE%D1%98%D0%BD%D0%B0.wav,76588
крв,крв,exact,Lingua Libre / Wikimedia Commons,Bjankuloski06,CC-BY-SA 4.0,LL-Q9296 (mkd)-Bjankuloski06-крв.wav,https://upload.wikimedia.org/wikipedia/commons/4/40/LL-Q9296_%28mkd%29-Bjankuloski06-%D0%BA%D1%80%D0%B2.wav,84780
казна,казна,exact,Lingua Libre / Wikimedia Commons,Bjankuloski06,CC-BY-SA 4.0,LL-Q9296 (mkd)-Bjankuloski06-казна.wav,https://upload.wikimedia.org/wikipedia/commons/e/ed/LL-Q9296_%28mkd%29-Bjankuloski06-%D0%BA%D0%B0%D0%B7%D0%BD%D0%B0.wav,101164
волја,волја,exact,Lingua Libre / Wikimedia Commons,Bjankuloski06,CC-BY-SA 4.0,LL-Q9296 (mkd)-Bjankuloski06-волја.wav,https://upload.wikimedia.org/wikipedia/commons/6/62/LL-Q9296_%28mkd%29-Bjankuloski06-%D0%B2%D0%BE%D0%BB%D1%98%D0%B0.wav,84780
прашање,прашање,exact,Lingua Libre / Wikimedia Commons,Bjankuloski06,CC-BY-SA 4.0,LL-Q9296 (mkd)-Bjankuloski06-прашање.wav,https://upload.wikimedia.org/wikipedia/commons/7/7b/LL-Q9296_%28mkd%29-Bjankuloski06-%D0%BF%D1%80%D0%B0%D1%88%D0%B0%D1%9A%D0%B5.wav,109356
пишува,пишува,exact,Lingua Libre / Wikimedia Commons,Bjankuloski06,CC-BY-SA 4.0,LL-Q9296 (mkd)-Bjankuloski06-пишува.wav,https://upload.wikimedia.org/wikipedia/commons/6/6f/LL-Q9296_%28mkd%29-Bjankuloski06-%D0%BF%D0%B8%D1%88%D1%83%D0%B2%D0%B0.wav,92972
ние,ние,exact,Lingua Libre / Wikimedia Commons,Bjankuloski06,CC-BY-SA 4.0,LL-Q9296 (mkd)-Bjankuloski06-ние.wav,https://upload.wikimedia.org/wikipedia/commons/4/49/LL-Q9296_%28mkd%29-Bjankuloski06-%D0%BD%D0%B8%D0%B5.wav,92972
пример,пример,exact,Lingua Libre / Wikimedia Commons,Bjankuloski06,CC-BY-SA 4.0,LL-Q9296 (mkd)-Bjankuloski06-пример.wav,https://upload.wikimedia.org/wikipedia/commons/d/d4/LL-Q9296_%28mkd%29-Bjankuloski06-%D0%BF%D1%80%D0%B8%D0%BC%D0%B5%D1%80.wav,92972
минута,минута,exact,Lingua Libre / Wikimedia Commons,Bjankuloski06,CC-BY-SA 4.0,LL-Q9296 (mkd)-Bjankuloski06-минута.wav,https://upload.wikimedia.org/wikipedia/commons/8/86/LL-Q9296_%28mkd%29-Bjankuloski06-%D0%BC%D0%B8%D0%BD%D1%83%D1%82%D0%B0.wav,92972
